MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
11274;61286;Gary Hunter;M;SBD;Single-ply;;O;58.5;60;;;;;152.5;;;;;97.5;;;;;200;450;;392.88;392.88
11828;61286;Gary Hunter;M;;Single-ply;26;Open Men;59.96;60;;;;;162.5;;;;;115;;;;;217.5;495;1;422.43;422.43
11850;61286;Gary Hunter;M;;Single-ply;26;Open Men;59.69;60;;;;;172.50;;;;;110.00;;;;;218.00;500.50;1;428.89;428.89
11880;61286;Gary Hunter;M;;Raw;27;Open Men;59.69;60;;;;;147.50;;;;;97.50;;;;;193.00;438.00;1;375.33;375.33
11898;61286;Gary Hunter;M;;Single-ply;27;Open;59.74;60;;;;;175;;;;;110;;;;;210;495;1;423.85;423.85
11898;61286;Gary Hunter;M;;Single-ply;27;Open;59.33;60;;;;;;;;;;;;;;;217.5;217.5;1;187.42;187.42
11917;61286;Gary Hunter;M;;Wraps;27;Open;59.96;60;;;;;147.50;;;;;90.00;;;;;207.50;445.00;1;379.76;379.76
11977;61286;Gary Hunter;M;;Single-ply;28;Open;59.15;60;;;;;182.50;;;;;112.50;;;;;217.50;512.50;1;442.87;442.87
12057;61286;Gary Hunter;M;;Single-ply;28;Open;60.00;60;;;;;205.00;;;;;125.00;;;;;218.50;548.50;1;467.80;467.80
12057;61286;Gary Hunter;M;;Single-ply;28;Open;60.00;60;;;;;;;;;;;;;;;218.50;218.50;1;186.35;186.35
12077;61286;Gary Hunter;M;;Raw;28;Open;65.60;67.5;;;;;;;;;;;;;;;215.00;215.00;1;169.67;169.67
12129;61286;Gary Hunter;M;D;Single-ply;28;Open;65.2;67.5;;;;;;;;;;;;;;;236;236;1;187.19;187.19
12153;61286;Gary Hunter;M;;Single-ply;29;Open;64.7;67.5;;;;;187.5;;;;;120;;;;;227.5;535;2;427.09;427.09
12196;61286;Gary Hunter;M;;Single-ply;29;Open;65.4;67.5;;;;;;;;;;;;;;;237.5;237.5;1;187.90;187.90
12283;61286;Gary Hunter;M;SBD;Single-ply;29;Open;65.25;67.5;;;;;-200;;;;;127.5;;;;;227.5;;DQ;;
12283;61286;Gary Hunter;M;B;Single-ply;29;Open;65.25;67.5;;;;;;;;;;127.5;;;;;;127.5;1;101.06;101.06
12283;61286;Gary Hunter;M;D;Single-ply;29;Open;65.25;67.5;;;;;;;;;;;;;;;227.5;227.5;1;180.33;180.33
12465;61286;Gary Hunter;M;SBD;Single-ply;30;Open;67.2;67.5;;;;;212.5;;;;;137.5;;;;;240;590;1;456.53;456.53
12465;61286;Gary Hunter;M;D;Single-ply;30;Open;67.2;67.5;;;;;;;;;;;;;;;240;240;1;185.71;185.71
12607;61286;Gary Hunter;M;SBD;Single-ply;30;Open;66.3;67.5;;;;;212.5;;;;;135;;;;;227.5;575;1;449.81;449.81
12664;61286;Gary Hunter;M;B;Single-ply;;Open;60;60;;;;;;;;;;92.5;;;;;;92.5;3;78.89;78.89
12664;61286;Gary Hunter;M;D;Single-ply;;Open;60;60;;;;;;;;;;;;;;;183;183;2;156.08;156.08
249;12109;Gary Ingram;M;B;Raw;;Open;78.9;82.5;;;;;;;;;;120;;;;;;120;7;82.65;82.65
2254;12109;Gary Ingram;M;B;Single-ply;;M-E-Open;78.8;82.5;;;;;;;;;;;;;;;;;DQ;;
176;7390;Gary Jensen;M;D;Raw;61;M_MCR_5_AAPF;85.2;90;;;;;;;;;;;125;135;142.5;;142.5;142.5;1;93.69;127.98
2915;53980;Gary Johnson;M;B;Raw;;Amateur Master 45-49;110;110;;;;;;;;;;195.04;;;;;;195.04;1;114.78;114.78
8368;53980;Gary Johnson;M;B;Raw;;Open;110;110;;;;;;;;;;192.78;;;;;;192.78;2;113.45;113.45
11840;53980;Gary Johnson;M;;Wraps;62;Master Men 60-64;73.94;75;;;;;92.5;;;;;60;;;;;125;277.5;1;199.72;278.22
11926;53980;Gary Johnson;M;;Wraps;63;Master 60-64;73.60;75;;;;;95;;;;;72.5;;;;;130;297.5;1;214.82;305.26
11969;53980;Gary Johnson;M;;Raw;63;Master 60-64;67.00;67.5;;;;;;;;;;;;;;;132.50;132.50;1;102.77;146.04
11988;53980;Gary Johnson;M;;Raw;63;Master 60-64;66.80;67.5;;;;;;;;;;;;;;;-135.00;;DQ;;
12029;53980;Gary Johnson;M;;Raw;63;Master 60-64;66.40;67.5;;;;;;;;;;;;;;;130.00;130.00;1;101.57;144.33
12090;53980;Gary Johnson;M;;Wraps;64;Master 60-64;67.2;67.5;;;;;105;;;;;70;;;;;142.5;317.5;1;245.67;356.23
12196;53980;Gary Johnson;M;;Raw;64;Master 60-64;66;67.5;;;;;;;;;;;;;;;150;150;1;117.78;170.78
12262;53980;Gary Johnson;M;SBD;Wraps;64;Master;66.6;67.5;;;;;112.5;;;;;75;;;;;155;342.5;1;266.95;387.07
12361;53980;Gary Johnson;M;B;Raw;49;Master;108.3;110;;;;;;;;;;205;;;;;;205;1;121.23;134.93
12592;53980;Gary Johnson;M;B;Raw;50;Master 50-54;112.9;125;;;;;;;;;;212.5;;;;;;212.5;1;124.10;140.23
12668;53980;Gary Johnson;M;D;Raw;;Master Men 61-67;75;75;;;;;;;;;;;;;;;164.97;164.97;1;117.55;117.55
113;4763;Gary Jones;M;B;Single-ply;52;MM-SP;107.35;110;;;;;;160;175;182.5;;182.5;;;;;;182.5;2;108.24;126.09
314;4763;Gary Jones;M;D;Raw;51;MR-M;105.6;110;;;;;;;;;;;215;230;-240;;230;230;4;137.17;157.33
319;4763;Gary Jones;M;SBD;Wraps;52;MRP-M;107.9;110;185;202.5;212.5;;212.5;162.5;170;175;;175;200;;;;200;587.5;1;347.85;405.24
2830;4763;Gary Jones;M;BD;Raw;52;M-OR;108.2;110;;;;;;162.5;170;-175;;170;232.5;-242.5;242.5;;242.5;412.5;11;244.01;284.28
11382;159827;Gary Jr Peterson;M;SBD;Raw;44.5;R-M1a;63.70;66;-82.5;90;100;;100.0;82.5;90;-95;;90.0;127.5;135;145;;145.0;335;1;270.99;270.99
3845;71241;Gary Kachar;M;B;Single-ply;;m3;140.89;140+;;;;;;;;;;165;;;;;;165;1;92.12;92.12
