MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
2758;46063;Pedro Fiestas;M;SBD;Raw;48.5;M1;58.15;59;105;110;-112.5;;110;102.5;107.5;110;;110;-120;120;125;;125;345;1;302.91;302.91
2759;46063;Pedro Fiestas;M;B;Raw;48.5;M1;58.15;59;;;;;;102.5;107.5;110;;110;;;;;;110;1;96.58;96.58
10016;125676;Pedro Garcia;M;SBD;Single-ply;;Boys Freshman;100.7;110;;;;;136.08;;;;;;;;;;;;DQ;;
10094;125676;Pedro Garcia;M;SBD;Single-ply;;Boys;100.92;110;;;;;140.61;;;;;79.38;;;;;170.1;390.09;7;236.55;236.55
10170;125676;Pedro Garcia;M;SBD;Single-ply;;FRESHMEN BOYS;99.52;100;;;;;149.69;;;;;79.38;;;;;174.63;403.7;4;246.16;246.16
11064;152765;Pedro Gonzalez;M;SBD;Raw;21.5;R-C;125.75;120+;250;262.5;-275;;262.5;150;160;-170;;160;257.5;272.5;-285;;272.5;695;8;395.57;395.57
11326;152765;Pedro Gonzalez;M;SBD;Raw;21.5;R-JR;120.9;120+;185;230;250;;250;145;150;-160;;150;185;230;260;;260;660;2;378.80;378.80
9747;119920;Pedro Govea;M;SBD;Single-ply;;Boys;133.36;125+;;;;;170.1;;;;;97.52;;;;;167.83;435.45;4;245.20;245.20
9955;119920;Pedro Govea;M;SBD;Single-ply;;Boys;130.82;125+;;;;;197.31;;;;;99.79;;;;;170.1;467.2;10;263.95;263.95
10070;119920;Pedro Govea;M;SBD;Single-ply;;Boys;136.26;125+;;;;;190.51;;;;;115.67;;;;;179.17;485.34;2;272.34;272.34
10729;142090;Pedro Guzman;M;SBD;Raw;18.5;R-O;91.8;93;197.5;-212.5;-212.5;;197.5;115;-125;-125;;115;185;192.5;205;;205;517.5;3;327.13;327.13
9844;123279;Pedro Hernandez;M;SBD;Single-ply;;Boys;85.28;90;;;;;;;;;;;;;;;;;DQ;;
9971;123279;Pedro Hernandez;M;SBD;Single-ply;;Boys;87.27;90;;;;;215.46;;;;;106.59;;;;;174.63;496.68;11;322.24;322.24
12574;184851;Pedro Herrera;M;SBD;Raw;19;Junior 18-19;120;125;;;;;272.5;;;;;177.5;;;;;272.5;722.5;1;415.38;432.00
11792;169766;Pedro Holanda Junqueira;M;;Raw;30;Open Men;82.1;82.5;;;;;142.5;;;;;87.5;;;;;180;410;4;275.47;275.47
2727;45322;Pedro Jesus Zuniga;M;B;Single-ply;26.5;Open;101.5;110;;;;;;175;-190;-190;;175;;;;;;175;3;105.88;105.88
10789;143463;Pedro Jones;M;SBD;Single-ply;16.5;O;76.9;83;-95;95;-107.5;;95.0;-52.5;-52.5;52.5;;52.5;110;120;130;;130.0;277.5;8;194.38;194.38
8973;111784;Pedro Karlsson;M;;Single-ply;;Under 23;;125+;;;;;;;;;;;;;;;;212.5;1;;
8978;111784;Pedro Karlsson;M;;Single-ply;22.5;Under 23;151.70;125+;;;;;;;;;;;;;;;;215;1;118.77;118.77
8980;111784;Pedro Karlsson;M;B;Single-ply;22.5;Open;151.1;125+;;;;;;;;;;220;;;;;;220;3;121.60;121.60
2713;44434;Pedro Lara;M;SBD;Single-ply;;Open;94.2;105;-220;-220;220;;220;100;110;115;;115;180;-200;-220;;180;515;6;321.58;321.58
3103;59941;Pedro Lins;M;SBD;Raw;21.5;Juniors;73.71;74;185;195;-200;;195;120;-127.5;-127.5;;120;220;227.5;232.5;;232.5;547.5;8;394.93;394.93
3107;59941;Pedro Lins;M;SBD;Raw;22.5;Juniors;73.44;74;202.5;215;220;;220;120;-125;-125;;120;232.5;240;-247.5;;240;580;12;419.47;419.47
3114;59941;Pedro Lins;M;SBD;Raw;23.5;Open;72.16;74;215;220;-227.5;;220;125;-130;-130;;125;230;247.5;-252.5;;247.5;592.5;22;434.01;434.01
